productCode	 colorId	productSize	productStock
MBL237	558	 S	50
MBL237	558	  M	50
MBL237	558	  L	50
MBL236	556	 S	50
MBL236	556	  M	50
MBL236	556	  L	50
MBL236	555	 S	50
MBL236	555	  M	50
MBL236	555	  L	50
MBL235	553	 S	50
MBL235	553	  M	50
MBL235	553	  L	50
MBL234	551	 S	50
MBL234	551	  M	50
MBL234	551	  L	50
MBL234	550	 S	50
MBL234	550	  M	50
MBL234	550	  L	50
MBL233	549	 M	50
MBL233	549	  L	50
MBL232	547	 M	50
MBL232	547	  L	50
MBL231	546	 Freesize	50
MBL230	545	 M	50
MBL230	545	  L	50
MBL229	543	 M	50
MBL229	543	  L	50
MBL228	541	 S	50
MBL228	541	  M	50
MBL228	541	  L	50
MBL227	540	 S	50
MBL227	540	  M	50
MBL227	540	  L	50
MBL225	537	 M	50
MBL225	537	  L	50
MBL225	537	  XL	50
MBL225	536	 M	50
MBL225	536	  L	50
MBL225	536	  XL	50
MBL224	535	 M	50
MBL224	535	  L	50
MBL224	535	  XL	50
MBL222	533	 M	50
MBL222	533	  L	50
MBL222	533	  XL	50
MBL222	533	  2XL	50
MBL222	532	 M	50
MBL222	532	  L	50
MBL222	532	  XL	50
MBL222	532	  2XL	50
MBL221	531	 S	50
MBL221	531	  M	50
MBL221	531	  L	50
MBL221	530	 S	50
MBL221	530	  M	50
MBL221	530	  L	50
MBL220	529	 S	50
MBL220	529	  M	50
MBL220	529	  L	50
MBL220	527	 S	50
MBL220	527	  M	50
MBL220	527	  L	50
MBL220	528	 S	50
MBL220	528	  M	50
MBL220	528	  L	50
MBL219	526	 S	50
MBL219	526	  M	50
MBL219	526	  L	50
MBL219	525	 S	50
MBL219	525	  M	50
MBL219	525	  L	50
MBL212	512	 Freesize	50
MBL203	493	 S	50
MBL203	493	  M	50
MBL203	493	  L	50
MBL191	473	 S	50
MBL191	473	  M	50
MBL191	473	  L	50
MBL191	472	 S	50
MBL191	472	  M	50
MBL191	472	  L	50
MBL205	501	 Freesize	50
MBL205	495	 Freesize	50
MBL205	496	 Freesize	50
MBL205	497	 Freesize	50
MBL205	498	 Freesize	50
MBL205	499	 Freesize	50
MBL205	500	 Freesize	50
MBL189	469	 M	50
MBL189	469	  L	50
MBL208	506	 M	50
MBL208	506	  L	50
MBL177	452	 M	50
MBL177	452	  L	50
MBL216	517	 M	50
MBL216	517	  L	50
MBL183	461	 M	50
MBL183	461	  L	50
MBL209	508	 M	50
MBL209	508	  L	50
MBL190	470	 M	50
MBL190	470	  L	50
MBL197	484	 M	50
MBL197	484	  L	50
MBL197	484	  XL	50
MBL193	476	 M	50
MBL193	476	  L	50
MBL184	462	 M	50
MBL184	462	  L	50
MBL185	463	 M	50
MBL185	463	  L	50
MBL179	455	 M	50
MBL179	455	  L	50
MBL180	456	 M	50
MBL180	456	  L	50
MBL083	218	 M	50
MBL083	218	  L	50
MBL182	460	 M	50
MBL182	460	  L	50
MBL170	445	 M	50
MBL170	445	  L	50
MBL161	404	 S	50
MBL161	404	  M	50
MBL161	404	  L	50
MBL161	403	 S	50
MBL161	403	  M	50
MBL161	403	  L	50
MBL159	405	 Freesize	50
MBL176	451	 S	50
MBL176	451	  M	50
MBL176	451	  L	50
MBL176	449	 S	50
MBL176	449	  M	50
MBL176	449	  L	50
MBL176	450	 S	50
MBL176	450	  M	50
MBL176	450	  L	50
MBL124	468	 S	50
MBL124	468	  M	50
MBL124	468	  L	50
MBL124	319	 S	50
MBL124	319	  M	50
MBL124	319	  L	50
MBL125	321	 S	50
MBL125	321	  M	50
MBL125	321	  L	50
MBL137	364	 S	50
MBL137	364	  M	50
MBL137	364	  L	50
MBL037	338	 M	50
MBL037	338	  L	50
MBL037	338	  XL	50
MBL037	338	  2XL	50
MBL037	93	 M	50
MBL037	93	  L	50
MBL037	93	  XL	50
MBL037	93	  2XL	50
MBL037	95	 M	50
MBL037	95	  L	50
MBL037	95	  XL	50
MBL037	95	  2XL	50
MBL032	73	 M	50
MBL032	73	  L	50
MBL032	73	  XL	50
MBL032	73	  2XL	50
MBL032	71	 M	50
MBL032	71	  L	50
MBL032	71	  XL	50
MBL032	71	  2XL	50
MBL032	72	 M	50
MBL032	72	  L	50
MBL032	72	  XL	50
MBL032	72	  2XL	50
MBL128	480	 M	50
MBL128	480	  L	50
MBL128	480	  XL	50
MBL128	480	  2XL	50
MBL128	325	 M	50
MBL128	325	  L	50
MBL128	325	  XL	50
MBL128	325	  2XL	50
MBL105	256	 M	50
MBL105	256	  L	50
MBL105	256	  XL	50
MBL105	256	  2XL	50
MBL106	257	 M	50
MBL106	257	  L	50
MBL106	257	  XL	50
MBL106	257	  2XL	50
MBL129	327	 M	50
MBL129	327	  L	50
MBL129	327	  XL	50
MBL129	327	  2XL	50
MBL129	326	 M	50
MBL129	326	  L	50
MBL129	326	  XL	50
MBL129	326	  2XL	50
MBL113	310	 Freesize	50
MBL113	278	 Freesize	50
MBL120	322	 Freesize	50
MBL120	311	 Freesize	50
MBL116	299	 M	50
MBL116	299	  L	50
MBL116	299	  XL	50
MBL116	299	  2XL	50
MBL111	274	 M	50
MBL111	274	  L	50
MBL111	274	  XL	50
MBL111	274	  2XL	50
MBL111	272	 M	50
MBL111	272	  L	50
MBL111	272	  XL	50
MBL111	272	  2XL	50
MBL111	273	 M	50
MBL111	273	  L	50
MBL111	273	  XL	50
MBL111	273	  2XL	50
MBL088	229	 M	50
MBL088	229	  L	50
MBL088	229	  XL	50
MBL088	229	  2XL	50
MBL061	160	 Freesize	50
MBL061	159	 Freesize	50
MBL060	158	 Freesize	50
MBL060	157	 Freesize	50
MBL115	298	 Freesize	50
MBL039	302	 M	50
MBL039	302	  L	50
MBL039	302	  XL	50
MBL039	302	  2XL	50
MBL039	101	 M	50
MBL039	101	  L	50
MBL039	101	  XL	50
MBL039	101	  2XL	50
MBL039	102	 M	50
MBL039	102	  L	50
MBL039	102	  XL	50
MBL039	102	  2XL	50
MBL036	474	 M	50
MBL036	474	  L	50
MBL036	474	  XL	50
MBL036	474	  2XL	50
MBL036	90	 M	50
MBL036	90	  L	50
MBL036	90	  XL	50
MBL036	90	  2XL	50
MBL036	91	 M	50
MBL036	91	  L	50
MBL036	91	  XL	50
MBL036	91	  2XL	50
MBL036	188	 M	50
MBL036	188	  L	50
MBL036	188	  XL	50
MBL036	188	  2XL	50
MBL035	600	 M	50
MBL035	600	  L	50
MBL035	600	  XL	50
MBL035	600	  2XL	50
MBL035	600	  3XL	50
MBL035	85	 M	50
MBL035	85	  L	50
MBL035	85	  XL	50
MBL035	85	  2XL	50
MBL035	85	  3XL	50
MBL035	86	 M	50
MBL035	86	  L	50
MBL035	86	  XL	50
MBL035	86	  2XL	50
MBL035	86	  3XL	50
MBL035	87	 M	50
MBL035	87	  L	50
MBL035	87	  XL	50
MBL035	87	  2XL	50
MBL035	87	  3XL	50
MBL035	89	 M	50
MBL035	89	  L	50
MBL035	89	  XL	50
MBL035	89	  2XL	50
MBL035	89	  3XL	50
MBL035	538	 M	50
MBL035	538	  L	50
MBL035	538	  XL	50
MBL035	538	  2XL	50
MBL035	538	  3XL	50
MBL035	575	 M	50
MBL035	575	  L	50
MBL035	575	  XL	50
MBL035	575	  2XL	50
MBL035	575	  3XL	50
MBL035	576	 M	50
MBL035	576	  L	50
MBL035	576	  XL	50
MBL035	576	  2XL	50
MBL035	576	  3XL	50
MBL028	554	 S	50
MBL028	554	  M	50
MBL028	554	  L	50
MBL028	32	 S	50
MBL028	32	  M	50
MBL028	32	  L	50
MBL022	407	 S	50
MBL022	407	  M	50
MBL022	407	  L	50
MBL022	61	 S	50
MBL022	61	  M	50
MBL022	61	  L	50
MBL022	395	 S	50
MBL022	395	  M	50
MBL022	395	  L	50
MBL022	396	 S	50
MBL022	396	  M	50
MBL022	396	  L	50
